EpThisIter,loss_pol_surr,TimestepsSoFar,loss_pol_entpen,AI_return,EpRewMean,loss_ent,AI_distance,loss_kl,EpisodesSoFar,EpLenMean,AI_success_rate,ev_tdlam_before,loss_vf_loss,TimeElapsed
8,-0.017775172,274251,0.0,-4793.237931957509,-2518.166128442484,5.4593673,15.842535479969383,0.005349723,588,448.27,0.00510204081632653,0.5650997459888458,58373.918,625.9320893287659
6,-0.015875772,276442,0.0,-4787.614021357522,-2446.2324352751575,5.4401345,15.844493143711677,0.004461811,594,455.29,0.005050505050505051,0.6146345436573029,76188.625,630.525753736496
5,-0.01318783,278357,0.0,-4783.130883861451,-2465.883523280506,5.4379134,15.842127274335178,0.004063076,599,447.9,0.005008347245409015,0.729912281036377,29266.727,635.1649742126465
4,-0.014640095,280089,0.0,-4781.721812373029,-2584.436926758698,5.409145,15.844082033507634,0.0051311096,603,454.08,0.004975124378109453,0.6767776608467102,64393.45,639.7951276302338
7,-0.014655267,282393,0.0,-4744.741131936557,-2737.9082292241555,5.38032,15.817130685475497,0.0050303624,610,451.58,0.004918032786885246,0.75688336789608,17676.785,644.4270107746124
4,-0.012206737,284578,0.0,-4753.335157820028,-2765.501298398235,5.3836017,15.829635618178358,0.0049378476,614,455.09,0.004885993485342019,0.6604226231575012,25112.814,649.1020243167877
3,-0.013215911,286350,0.0,-4762.071079002687,-2867.5881337207593,5.347734,15.822071286644023,0.0034972546,617,460.51,0.004862236628849271,0.4174860715866089,52527.582,653.9202527999878
4,-0.013587066,287970,0.0,-4758.73797444802,-2874.274065822352,5.3343606,15.809181935394834,0.004927189,621,450.46,0.004830917874396135,0.443240225315094,42349.824,658.6451640129089
8,-0.014857743,290623,0.0,-4751.65385699428,-3030.2384252041534,5.31045,15.810375047789814,0.0044701872,629,422.5,0.0047694753577106515,0.5810524225234985,85571.1,663.34787940979
6,-0.013784155,292554,0.0,-4736.167867843785,-3222.7963628397038,5.2784123,15.793011125757806,0.0033649108,635,404.24,0.004724409448818898,0.7317731380462646,47562.695,668.1994118690491
6,-0.015737822,294888,0.0,-4707.192321992107,-3139.473406093557,5.278687,15.761754778546418,0.0058098678,641,392.04,0.0046801872074883,0.40481406450271606,63274.67,672.9139752388
6,-0.01306727,296950,0.0,-4685.5583376077375,-3397.267124440004,5.2717075,15.749091214816,0.0036406165,647,386.63,0.00463678516228748,0.5080098807811737,48071.625,677.5629532337189
5,-0.014941933,298921,0.0,-4629.8926642451515,-3123.1570095469665,5.2770944,15.684715347894166,0.004792263,652,390.92,0.004601226993865031,0.621534913778305,34294.777,682.3741238117218
9,-0.013690256,301030,0.0,-4600.169632852154,-3193.7536515557044,5.2699018,15.668537830384457,0.0055507366,661,382.22,0.0045385779122541605,0.4528590440750122,35474.668,687.1195948123932
7,-0.010688552,302751,0.0,-4562.429039469481,-2902.65719267916,5.2869153,15.655863225783374,0.004207765,668,372.1,0.004491017964071856,0.5432095527648926,61642.266,691.8289983272552
4,-0.014790444,304934,0.0,-4571.487770248631,-2983.2210742172115,5.28889,15.646381302181743,0.0042703105,672,382.02,0.004464285714285714,0.7734359204769135,48718.445,696.4727475643158
